Id,full_scorecard,Season,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place,winner_update,Season_update
78,https://stats.espncricinfo.com/ci/engine/match/1254061.html,2021,Punjab Kings,Rajasthan Royals,221,217,Rajasthan Royals,Field,Punjab,4 runs,Sanju Samson,Wankhede Stadium,Mumbai,Punjab,2021
79,https://stats.espncricinfo.com/ci/engine/match/1254062.html,2021,Mumbai Indians,Kolkata Knight Riders,152,142,Kolkata Knight Riders,Field,Mumbai,10 runs,Rahul Chahar,MA Chidambaram Stadium,Chepauk,Mumbai,2021
80,https://stats.espncricinfo.com/ci/engine/match/1254063.html,2021,Royal Challengers Bangalore,Sunrisers Hyderabad,149,143,Sunrisers Hyderabad,Field,RCB,6 runs,Glenn Maxwell,MA Chidambaram Stadium,Chepauk,Banglore,2021
81,https://stats.espncricinfo.com/ci/engine/match/1254064.html,2021,Delhi Capitals,Rajasthan Royals,147,150,Rajasthan Royals,Field,Royals,3 wickets,Jaydev Unadkat,Wankhede Stadium,Mumbai,Rajasthan,2021
82,https://stats.espncricinfo.com/ci/engine/match/1254065.html,2021,Punjab Kings,Chennai Super Kings,106,107,Chennai Super Kings,Field,Super,6 wickets,Deepak Chahar,Wankhede Stadium,Mumbai,Chennai,2021
83,https://stats.espncricinfo.com/ci/engine/match/1254066.html,2021,Mumbai Indians,Sunrisers Hyderabad,150,137,Mumbai Indians,Bat,Mumbai,13 runs,Kieron Pollard,MA Chidambaram Stadium,Chepauk,Mumbai,2021
84,https://stats.espncricinfo.com/ci/engine/match/1254067.html,2021,Royal Challengers Bangalore,Kolkata Knight Riders,204,166,Royal Challengers Bangalore,Bat,RCB,38 runs,AB de Villiers,MA Chidambaram Stadium,Chepauk,Banglore,2021
85,https://stats.espncricinfo.com/ci/engine/match/1254068.html,2021,Punjab Kings,Delhi Capitals,195,198,Delhi Capitals,Field,Capitals,6 wickets,Shikhar Dhawan,Wankhede Stadium,Mumbai,Delhi,2021
86,https://stats.espncricinfo.com/ci/engine/match/1254069.html,2021,Chennai Super Kings,Rajasthan Royals,188,143,Rajasthan Royals,Field,Super,45 runs,Moeen Ali,Wankhede Stadium,Mumbai,Chennai,2021
87,https://stats.espncricinfo.com/ci/engine/match/1254070.html,2021,Mumbai Indians,Delhi Capitals,137,138,Mumbai Indians,Bat,Capitals,6 wickets,Amit Mishra,MA Chidambaram Stadium,Chepauk,Delhi,2021
88,https://stats.espncricinfo.com/ci/engine/match/1254071.html,2021,Punjab Kings,Sunrisers Hyderabad,120,121,Punjab Kings,Bat,Sunrisers,9 wickets,Jonny Bairstow,MA Chidambaram Stadium,Chepauk,Hyderabad,2021
89,https://stats.espncricinfo.com/ci/engine/match/1254072.html,2021,Chennai Super Kings,Kolkata Knight Riders,220,202,Kolkata Knight Riders,Field,Super,18 runs,Faf du Plessis,Wankhede Stadium,Mumbai,Chennai,2021
90,https://stats.espncricinfo.com/ci/engine/match/1254073.html,2021,Rajasthan Royals,Royal Challengers Bangalore,177,181,Royal Challengers Bangalore,Field,RCB,10 wickets,Devdutt Padikkal,Wankhede Stadium,Mumbai,Banglore,2021
91,https://stats.espncricinfo.com/ci/engine/match/1254074.html,2021,Mumbai Indians,Punjab Kings,131,132,Punjab Kings,Field,Punjab,9 wickets,KL Rahul,MA Chidambaram Stadium,Chepauk,Punjab,2021
92,https://stats.espncricinfo.com/ci/engine/match/1254075.html,2021,Kolkata Knight Riders,Rajasthan Royals,133,134,Rajasthan Royals,Field,Royals,6 wickets,Chris Morris,Wankhede Stadium,Mumbai,Rajasthan,2021
93,https://stats.espncricinfo.com/ci/engine/match/1254076.html,2021,Chennai Super Kings,Royal Challengers Bangalore,191,122,Chennai Super Kings,Bat,Super,69 runs,Ravindra Jadeja,Wankhede Stadium,Mumbai,Chennai,2021
94,https://stats.espncricinfo.com/ci/engine/match/1254077.html,2021,Delhi Capitals,Sunrisers Hyderabad,159,159,Delhi Capitals,Bat,Tied,Tied,Prithvi Shaw,MA Chidambaram Stadium,Chepauk,Tied,2021
95,https://stats.espncricinfo.com/ci/engine/match/1254078.html,2021,Punjab Kings,Kolkata Knight Riders,123,126,Kolkata Knight Riders,Field,KKR,5 wickets,Eoin Morgan,Narendra Modi Stadium,Ahmedabad,Kolkata,2021
96,https://stats.espncricinfo.com/ci/engine/match/1254079.html,2021,Royal Challengers Bangalore,Delhi Capitals,171,170,Delhi Capitals,Field,RCB,1 run,AB de Villiers,Narendra Modi Stadium,Ahmedabad,Banglore,2021
97,https://stats.espncricinfo.com/ci/engine/match/1254080.html,2021,Sunrisers Hyderabad,Chennai Super Kings,171,173,Sunrisers Hyderabad,Bat,Super,7 wickets,Ruturaj Gaikwad,Arun Jaitley Stadium,Delhi,Chennai,2021
98,https://stats.espncricinfo.com/ci/engine/match/1254081.html,2021,Rajasthan Royals,Mumbai Indians,171,172,Mumbai Indians,Field,Mumbai,7 wickets,Quinton de Kock,Arun Jaitley Stadium,Delhi,Mumbai,2021
99,https://stats.espncricinfo.com/ci/engine/match/1254082.html,2021,Kolkata Knight Riders,Delhi Capitals,154,156,Delhi Capitals,Field,Capitals,7 wickets,Prithvi Shaw,Narendra Modi Stadium,Ahmedabad,Delhi,2021
100,https://stats.espncricinfo.com/ci/engine/match/1254083.html,2021,Punjab Kings,Royal Challengers Bangalore,179,145,Royal Challengers Bangalore,Field,Punjab,34 runs,Harpreet Brar,Narendra Modi Stadium,Ahmedabad,Punjab,2021
101,https://stats.espncricinfo.com/ci/engine/match/1254084.html,2021,Chennai Super Kings,Mumbai Indians,218,219,Mumbai Indians,Field,Mumbai,4 wickets,Kieron Pollard,Arun Jaitley Stadium,Delhi,Mumbai,2021
102,https://stats.espncricinfo.com/ci/engine/match/1254085.html,2021,Rajasthan Royals,Sunrisers Hyderabad,220,165,Sunrisers Hyderabad,Field,Royals,55 runs,Jos Buttler,Arun Jaitley Stadium,Delhi,Rajasthan,2021
103,https://stats.espncricinfo.com/ci/engine/match/1254086.html,2021,Punjab Kings,Delhi Capitals,166,167,Delhi Capitals,Field,Capitals,7 wickets,Mayank Agarwal,Narendra Modi Stadium,Ahmedabad,Delhi,2021
104,https://stats.espncricinfo.com/ci/engine/match/1254104.html,2021,Chennai Super Kings,Mumbai Indians,156,136,Chennai Super Kings,Bat,Super,20 runs,Ruturaj Gaikwad,Dubai International Cricket Stadium,Dubai,Chennai,2021
105,https://stats.espncricinfo.com/ci/engine/match/1254087.html,2021,Royal Challengers Bangalore,Kolkata Knight Riders,92,94,Royal Challengers Bangalore,Bat,KKR,9 wickets,Varun Chakravarthy,Zayed Cricket Stadium,Abu Dhabi,Kolkata,2021
106,https://stats.espncricinfo.com/ci/engine/match/1254111.html,2021,Rajasthan Royals,Punjab Kings,185,183,Punjab Kings,Field,Royals,2 runs,Kartik Tyagi,Dubai International Cricket Stadium,Dubai,Rajasthan,2021
107,https://stats.espncricinfo.com/ci/engine/match/1254105.html,2021,Sunrisers Hyderabad,Delhi Capitals,134,139,Sunrisers Hyderabad,Bat,Capitals,8 wickets,Anrich Nortje,Dubai International Cricket Stadium,Dubai,Delhi,2021
108,https://stats.espncricinfo.com/ci/engine/match/1254096.html,2021,Mumbai Indians,Kolkata Knight Riders,155,159,Kolkata Knight Riders,Field,KKR,7 wickets,Sunil Narine,Zayed Cricket Stadium,Abu Dhabi,Kolkata,2021
109,https://stats.espncricinfo.com/ci/engine/match/1254113.html,2021,Royal Challengers Bangalore,Chennai Super Kings,156,157,Chennai Super Kings,Field,Super,6 wickets,Dwayne Bravo,Sharjah Cricket Stadium,Sharjah,Chennai,2021
110,https://stats.espncricinfo.com/ci/engine/match/1254097.html,2021,Delhi Capitals,Rajasthan Royals,154,121,Rajasthan Royals,Field,Capitals,33 runs,Shreyas Iyer,Zayed Cricket Stadium,Abu Dhabi,Delhi,2021
111,https://stats.espncricinfo.com/ci/engine/match/1254107.html,2021,Punjab Kings,Sunrisers Hyderabad,125,120,Sunrisers Hyderabad,Field,Punjab,5 runs,Jason Holder,Sharjah Cricket Stadium,Sharjah,Punjab,2021
112,https://stats.espncricinfo.com/ci/engine/match/1254098.html,2021,Kolkata Knight Riders,Chennai Super Kings,171,172,Kolkata Knight Riders,Bat,Super,2 wickets,Ravindra Jadeja,Zayed Cricket Stadium,Abu Dhabi,Chennai,2021
113,https://stats.espncricinfo.com/ci/engine/match/1254108.html,2021,Royal Challengers Bangalore,Mumbai Indians,165,111,Mumbai Indians,Field,RCB,54 runs,Glenn Maxwell,Dubai International Cricket Stadium,Dubai,Banglore,2021
114,https://stats.espncricinfo.com/ci/engine/match/1254100.html,2021,Rajasthan Royals,Sunrisers Hyderabad,164,167,Rajasthan Royals,Bat,Sunrisers,7 wickets,Jason Roy,Dubai International Cricket Stadium,Dubai,Hyderabad,2021
